Species	Sex	SUL (mm)	Museum Number	Source	Data Type	Country
Acanthixalus sonjae	f	35.5		Rodel et al. 2003	average	
Acanthixalus sonjae	m	35.1		Rodel et al. 2003	average	
Acanthixalus spinosus	m	33.1	CAS 153799	Present Study	specimen	Cameroon
Acanthixalus spinosus	f	33.7	CAS 153800	Present Study	specimen	Cameroon
Acanthixalus spinosus	f	34.5		Rodel et al. 2003	average	
Acanthixalus spinosus	m	33.5		Rodel et al. 2003	average	
Afrixalus brachycnemis	f	27.0		Channing 2001	maximum	
Afrixalus brachycnemis	m	25.0		Channing 2001	maximum	
Afrixalus dorsalis 1	m	24.5	CAS 253854	Present Study	specimen	Cameroon
Afrixalus dorsalis 1	f	26.9	CAS 253855	Present Study	specimen	Cameroon
Afrixalus dorsalis 1	m	21.0	CAS 253856	Present Study	specimen	Cameroon
Afrixalus dorsalis 1	m	24.4	CAS 253857	Present Study	specimen	Cameroon
Afrixalus dorsalis 1	m	24.0	CAS 253858	Present Study	specimen	Cameroon
Afrixalus dorsalis 1	m	26.3	CAS 253859	Present Study	specimen	Cameroon
Afrixalus dorsalis 1	m	26.0	CAS 253860	Present Study	specimen	Cameroon
Afrixalus dorsalis 1	f	20.7	CAS 253861	Present Study	specimen	Cameroon
Afrixalus dorsalis 1	m	25.6	CAS 253862	Present Study	specimen	Cameroon
Afrixalus dorsalis 1	m	25.2	CAS 253863	Present Study	specimen	Cameroon
Afrixalus dorsalis 1	m	26.1	CAS 253864	Present Study	specimen	Cameroon
Afrixalus dorsalis 1	m	26.3	CAS 253865	Present Study	specimen	Cameroon
Afrixalus dorsalis 1	m	24.4	CAS 253866	Present Study	specimen	Cameroon
Afrixalus dorsalis 1	f	27.9	CAS 253955	Present Study	specimen	Cameroon
Afrixalus dorsalis 1	m	27.5	CAS 253956	Present Study	specimen	Cameroon
Afrixalus dorsalis 1	m	27.1	CAS 253957	Present Study	specimen	Cameroon
Afrixalus dorsalis 1	f	26.7	CAS 253958	Present Study	specimen	Cameroon
Afrixalus dorsalis 1	m	27.6	CAS 253959	Present Study	specimen	Cameroon
Afrixalus dorsalis 1	m	27.2	CAS 253960	Present Study	specimen	Cameroon
Afrixalus dorsalis 1	m	26.3	CAS 253961	Present Study	specimen	Cameroon
Afrixalus dorsalis 1	m	26.7	CAS 253965	Present Study	specimen	Cameroon
Afrixalus dorsalis 1	f	27.5	CAS 256690	Present Study	specimen	Cameroon
Afrixalus dorsalis 1	m	25.4	CAS 256691	Present Study	specimen	Cameroon
Afrixalus dorsalis 1	m	24.4	CAS 256747	Present Study	specimen	Cameroon
Afrixalus dorsalis 1	m	24.2	CAS 256747	Present Study	specimen	Cameroon
Afrixalus dorsalis 1	m	26.4	CAS 256748	Present Study	specimen	Cameroon
Afrixalus dorsalis 1	m	26.4	CAS 256748	Present Study	specimen	Cameroon
Afrixalus dorsalis 1	m	26.7	CAS 256749	Present Study	specimen	Cameroon
Afrixalus dorsalis 1	m	26.5	CAS 256749	Present Study	specimen	Cameroon
Afrixalus dorsalis 1	m	24.8	CAS 256842	Present Study	specimen	Cameroon
Afrixalus dorsalis 2	f	27.5	CAS 254577	Present Study	specimen	Gabon
Afrixalus dorsalis 2	m	23.7	CAS 254579	Present Study	specimen	Gabon
Afrixalus dorsalis 2	m	22.9	CAS 254580	Present Study	specimen	Gabon
Afrixalus dorsalis 2	m	26.5	CUMV 14929	Present Study	specimen	Gabon
Afrixalus dorsalis 2	m	25.3	CUMV 15070	Present Study	specimen	Gabon
Afrixalus dorsalis 2	m	25.2	CUMV 15071	Present Study	specimen	Gabon
Afrixalus dorsalis 2	m	27.1	CUMV 15072	Present Study	specimen	Gabon
Afrixalus dorsalis 2	m	23.7	CUMV 15100	Present Study	specimen	Gabon
Afrixalus dorsalis 2	m	23.7	CUMV 15101	Present Study	specimen	Gabon
Afrixalus dorsalis 2	m	23.5	CUMV 15102	Present Study	specimen	Gabon
Afrixalus dorsalis 2	m	22.1	CUMV 15103	Present Study	specimen	Gabon
Afrixalus dorsalis 2	f	25.3	CUMV 15104	Present Study	specimen	Gabon
Afrixalus dorsalis 3	m	25.9	UWBM 5579	Present Study	specimen	Ghana
Afrixalus dorsalis 3	f	27.3	UWBM 5581	Present Study	specimen	Ghana
Afrixalus dorsalis 3	m	25.9	UWBM 5582	Present Study	specimen	Ghana
Afrixalus dorsalis 3	m	27.1	UWBM 5583	Present Study	specimen	Ghana
Afrixalus dorsalis 3	m	26.5	UWBM 5584	Present Study	specimen	Ghana
Afrixalus dorsalis 3	m	27.0	UWBM 5585	Present Study	specimen	Ghana
