Species	Number_Males	Number_Females	Avg_Male	Avg_Female	Standard_SSDi	Avg_Pairwise_SSDi	AbsDifference	Dimorphism_PValue	2.5_percentile	97.5_percentile
Acanthixalus sonjae	1	1	NA	NA	0.011	NA	NA	NA	NA	NA
Acanthixalus spinosus	2	2	33.3	34.1	0.024	0.024	0.0	<0.001	-0.024	0.024
Afrixalus brachycnemis	1	1	NA	NA	0.08	NA	NA	NA	NA	NA
Afrixalus dorsalis 1	25	5	25.6	25.9	0.012	0.005	0.007	0.9	-0.084	0.061
Afrixalus dorsalis 2	10	2	24.4	26.4	0.082	0.087	0.005	0.123	-0.101	0.117
Afrixalus dorsalis 3	23	7	25.7	27.3	0.062	0.062	0.0	0.013	-0.052	0.046
Afrixalus dorsimaculatus 1	29	6	23.1	25.4	0.1	0.104	0.004	<0.001	-0.054	0.063
Afrixalus fornasini	32	11	31.0	32.7	0.055	0.054	0.001	<0.001	-0.025	0.026
Afrixalus fulvovittatus 1	35	8	24.4	25.9	0.061	0.068	0.007	0.076	-0.078	0.073
Afrixalus fulvovittatus 2	7	6	23.1	24.6	0.065	0.063	0.002	0.011	-0.051	0.051
Afrixalus knysae	1	1	NA	NA	0.111	NA	NA	NA	NA	NA
Afrixalus lacteus	4	2	21.9	27.1	0.237	0.242	0.005	<0.001	-0.145	0.242
Afrixalus lacustris	5	1	21.4	NA	0.145	0.147	0.002	<0.001	-0.07	0.147
Afrixalus laevis	8	3	21.4	23.1	0.079	0.08	0.001	0.017	-0.065	0.075
Afrixalus nigeriensis	23	4	28.0	31.7	0.132	0.132	0.0	<0.001	-0.057	0.067
Afrixalus osorioi	20	7	27.6	28.9	0.047	0.05	0.003	0.032	-0.046	0.047
Afrixalus paradorsalis manengubensis	1	1	NA	NA	0.132	NA	NA	NA	NA	NA
Afrixalus paradorsalis paradorsalis 1	74	7	30.0	32.4	0.08	0.082	0.002	<0.001	-0.032	0.038
Afrixalus paradorsalis paradorsalis 2	26	5	28.9	31.7	0.097	0.101	0.004	<0.001	-0.057	0.061
Afrixalus quadrivittatus 2	23	13	25.8	25.7	-0.004	-0.01	0.006	0.687	-0.05	0.048
